,name,경상자수,발생건수,부상신고자수,부상자수,사망자수,중상자수
162,여수시,1552,1271,33,1970,30,385
163,순천시,1487,1358,70,2046,33,489
164,나주시,894,645,60,1157,17,203
165,광양시,948,762,46,1255,16,261
166,담양군,347,269,11,488,16,130
167,곡성군,199,132,5,284,7,80
168,구례군,173,144,3,238,6,62
169,고흥군,208,277,11,382,18,163
170,보성군,242,229,24,383,14,117
171,화순군,317,278,24,456,9,115
172,장흥군,236,241,11,363,12,116
173,강진군,303,278,18,450,9,129
174,해남군,502,400,25,678,24,151
175,영암군,589,461,33,824,25,202
176,무안군,507,399,27,721,17,187
177,함평군,228,167,29,326,13,69
178,영광군,310,257,21,446,12,115
179,장성군,278,226,15,359,13,66
180,완도군,159,173,5,256,13,92
181,진도군,87,101,10,147,6,50
182,신안군,76,111,1,156,10,79
183,포항시,3193,2812,183,4349,49,973
184,경주시,1688,1715,180,2733,58,865
185,김천시,514,565,13,798,23,271
186,안동시,1109,1060,85,1679,38,485
187,구미시,1973,1992,243,2999,40,783
188,영주시,598,614,33,906,11,275
189,영천시,753,671,44,1095,23,298
190,문경시,497,460,29,741,18,215
191,상주시,500,585,12,854,26,342
192,군위군,72,117,14,154,18,68
193,의성군,168,241,5,323,22,150
194,청송군,78,106,3,164,8,83
195,영양군,56,81,3,116,5,57
196,영덕군,302,255,8,463,17,153
197,청도군,186,183,5,287,19,96
198,고령군,180,214,5,282,9,97
199,성주군,207,249,1,366,25,158
200,칠곡군,695,748,230,1245,23,320
201,예천군,84,174,1,241,19,156
202,봉화군,146,152,23,258,7,89
203,울진군,155,206,14,286,7,117
204,울릉군,13,18,4,22,1,5
205,경산시,1419,1411,61,2006,29,526
206,진주시,530,928,37,1246,29,679
207,통영시,697,736,34,1115,12,384
208,김해시,1859,2161,166,3222,44,1197
209,밀양시,414,488,34,718,18,270
210,거제시,1028,1115,32,1610,26,550
211,의령군,82,122,23,185,7,80
212,함안군,231,259,5,371,21,135
213,창녕군,244,363,37,540,24,259
214,양산시,1097,1250,264,1846,22,485
215,고성군,176,239,1,326,21,149
216,사천시,523,579,148,946,11,275
217,남해군,138,200,50,318,10,130
218,하동군,121,164,12,238,13,105
219,산청군,101,159,35,253,7,117
220,함양군,108,192,48,267,7,111
221,거창군,136,264,12,346,12,198
222,합천군,136,180,7,250,14,107
223,창원시,2929,3123,157,4460,75,1374
224,제주시,3299,3171,544,4823,44,980
225,서귀포시,1198,1263,247,2062,36,617
